sequence_id,char,mouth_target,eye_target,lid_target,emotion,timestamp
8, ,1,11,1,neutral,1.5
9,机,3,10,1,neutral,0.0
9,器,1,11,1,neutral,0.3
9,人,3,11,1,neutral,0.6
9,正,2,11,1,neutral,0.9
9,在,2,11,1,neutral,1.2
9,运,2,11,1,neutral,1.5
9,行,3,10,1,neutral,1.8
9, ,1,11,1,neutral,2.1
10,这,2,11,1,neutral,0.0
10,是,3,11,1,neutral,0.3
10,一,1,11,1,neutral,0.6
10,段,2,11,1,neutral,0.9
10,测,3,11,1,neutral,1.2
10,试,2,11,1,neutral,1.5
10,，,1,11,1,neutral,1.8
10,准,2,11,1,neutral,2.1
10,备,3,11,1,neutral,2.4
10,好,2,11,1,neutral,2.7
10,了,2,11,1,neutral,3.0
10,吗,1,12,1,neutral,3.3
10, ,1,11,1,neutral,3.6
11,准,2,11,1,neutral,0.0
11,备,3,11,1,neutral,0.3
11,好,3,11,1,neutral,0.6
11,了,1,11,1,neutral,0.9
11,吗,2,11,1,neutral,1.2
11, ,1,11,1,neutral,1.5
12,真,4,3,4,surprise,0.0
12,的,4,4,4,surprise,0.3
12,吗,5,4,4,surprise,0.6
12, ,1,11,1,neutral,0.9
13,真,5,4,4,surprise,0.0
13,的,4,4,4,surprise,0.3
13,吗,5,5,4,surprise,0.6
13, ,1,11,1,neutral,0.9
14,谢,4,11,2,positive,0.0
14,谢,3,12,1,positive,0.3
14,大,5,10,2,positive,0.6
14,家,5,12,1,positive,0.9
14,的,4,12,1,positive,1.2
14,支,5,12,1,positive,1.5
14,持,3,11,2,positive,1.8
14, ,1,11,1,neutral,2.1
15,请,2,19,3,negative,0.0
15,不,2,19,2,negative,0.3
15,要,1,16,3,negative,0.6
15,这,1,20,3,negative,0.9
15,样,2,16,2,negative,1.2
15, ,1,11,1,neutral,1.5
16,不,4,5,4,surprise,0.0
16,可,5,1,4,surprise,0.3
16,思,4,2,4,surprise,0.6
16,议,5,5,4,surprise,0.9
16,，,5,5,4,surprise,1.2
16,这,5,1,4,surprise,1.5
16,是,4,1,4,surprise,1.8
16,一,5,4,4,surprise,2.1
16,段,5,5,4,surprise,2.4
16,测,5,3,4,surprise,2.7
16,试,4,4,4,surprise,3.0
16, ,1,11,1,neutral,3.3
17,真,5,3,4,surprise,0.0
17,的,4,3,4,surprise,0.3
17,吗,5,1,4,surprise,0.6
17, ,1,11,1,neutral,0.9
18,好,1,11,1,neutral,0.0
18,的,2,11,1,neutral,0.3
18, ,1,11,1,neutral,0.6
19,请,2,16,2,negative,0.0
19,不,1,18,2,negative,0.3
19,要,2,19,3,negative,0.6
19,这,2,19,2,negative,0.9
19,样,1,19,3,negative,1.2
19, ,1,11,1,neutral,1.5
20,唉,1,16,3,negative,0.0
20, ,1,11,1,neutral,0.3
21,真,5,3,4,surprise,0.0
21,的,4,4,4,surprise,0.3
21,吗,5,3,4,surprise,0.6
21, ,1,11,1,neutral,0.9
22,今,4,12,1,positive,0.0
22,天,4,11,2,positive,0.3
22,心,3,11,1,positive,0.6
22,情,3,11,2,positive,0.9
22,很,4,11,2,positive,1.2
22,好,3,10,1,positive,1.5
22,，,5,12,2,positive,1.8
22,机,4,11,1,positive,2.1
22,器,5,12,2,positive,2.4
22,人,4,10,1,positive,2.7
22,正,4,10,2,positive,3.0
22,在,4,10,1,positive,3.3
22,运,4,10,2,positive,3.6
22,行,4,11,1,positive,3.9
22, ,1,11,1,neutral,4.2
23,这,2,11,1,neutral,0.0
23,是,1,11,1,neutral,0.3
23,一,1,11,1,neutral,0.6
23,段,3,10,1,neutral,0.9
23,测,3,11,1,neutral,1.2
23,试,1,11,1,neutral,1.5
23, ,1,11,1,neutral,1.8
24,有,2,16,3,negative,0.0
24,点,1,18,2,negative,0.3
24,难,1,16,3,negative,0.6
24,过,1,18,3,negative,0.9
24,，,2,18,2,negative,1.2
24,好,1,21,3,negative,1.5
24,的,1,18,3,negative,1.8
24, ,1,11,1,neutral,2.1
25,有,1,21,2,negative,0.0
25,点,2,21,3,negative,0.3
25,难,1,17,2,negative,0.6
25,过,1,19,2,negative,0.9
25, ,1,11,1,neutral,1.2
26,接,3,11,1,neutral,0.0
26,下,2,11,1,neutral,0.3
26,来,2,11,1,neutral,0.6
26,我,1,11,1,neutral,0.9
26,们,3,11,1,neutral,1.2
26,看,1,11,1,neutral,1.5
26,，,2,11,1,neutral,1.8
26,接,3,11,1,neutral,2.1
26,下,3,11,1,neutral,2.4
26,来,3,11,1,neutral,2.7
26,我,2,11,1,neutral,3.0
26,们,3,11,1,neutral,3.3
26,看,2,11,1,neutral,3.6
26, ,1,11,1,neutral,3.9
27,这,1,11,1,neutral,0.0
27,是,1,12,1,neutral,0.3
27,一,1,11,1,neutral,0.6
27,段,1,11,1,neutral,0.9
27,测,1,11,1,neutral,1.2
27,试,1,11,1,neutral,1.5
27, ,1,11,1,neutral,1.8
28,准,2,11,1,neutral,0.0
28,备,2,11,1,neutral,0.3
28,好,3,11,1,neutral,0.6
28,了,1,11,1,neutral,0.9
28,吗,2,11,1,neutral,1.2
28, ,1,11,1,neutral,1.5
29,机,3,11,1,neutral,0.0
29,器,3,11,1,neutral,0.3
29,人,3,10,1,neutral,0.6
29,正,2,11,1,neutral,0.9
29,在,2,11,1,neutral,1.2
29,运,3,12,1,neutral,1.5
29,行,3,11,1,neutral,1.8
29, ,1,11,1,neutral,2.1
30,欢,5,10,2,positive,0.0
30,迎,3,10,2,positive,0.3
30,来,4,11,1,positive,0.6
30,到,5,9,1,positive,0.9
30,直,3,9,2,positive,1.2
30,播,4,12,2,positive,1.5
30,间,3,11,2,positive,1.8
30, ,1,11,1,neutral,2.1
31,太,3,12,1,positive,0.0
31,棒,4,10,1,positive,0.3
31,了,5,11,2,positive,0.6
31, ,1,11,1,neutral,0.9
32,接,2,11,1,neutral,0.0
32,下,1,11,1,neutral,0.3
32,来,2,11,1,neutral,0.6
32,我,2,11,1,neutral,0.9
32,们,1,11,1,neutral,1.2
32,看,1,11,1,neutral,1.5
32,，,3,11,1,neutral,1.8
32,准,3,11,1,neutral,2.1
32,备,2,11,1,neutral,2.4
32,好,3,12,1,neutral,2.7
32,了,1,11,1,neutral,3.0
32,吗,1,11,1,neutral,3.3
32, ,1,11,1,neutral,3.6
33,情,2,18,3,negative,0.0
33,况,2,18,2,negative,0.3
33,不,2,16,2,negative,0.6
33,太,2,18,3,negative,0.9
33,好,2,16,2,negative,1.2
33,，,1,17,3,negative,1.5
33,准,2,18,2,negative,1.8
33,备,1,21,2,negative,2.1
33,好,1,21,3,negative,2.4
33,了,1,16,3,negative,2.7
33,吗,2,19,3,negative,3.0
33, ,1,11,1,neutral,3.3
34,机,2,11,1,neutral,0.0
34,器,2,11,1,neutral,0.3
34,人,1,11,1,neutral,0.6
34,正,3,11,1,neutral,0.9
34,在,3,11,1,neutral,1.2
34,运,3,11,1,neutral,1.5
34,行,1,11,1,neutral,1.8
34, ,1,11,1,neutral,2.1
35,哇,4,5,4,surprise,0.0
35, ,1,11,1,neutral,0.3
36,太,5,11,1,positive,0.0
36,棒,3,12,1,positive,0.3
36,了,5,12,1,positive,0.6
36, ,1,11,1,neutral,0.9
37,机,1,10,1,neutral,0.0
37,器,1,10,1,neutral,0.3
37,人,1,12,1,neutral,0.6
37,正,3,12,1,neutral,0.9
37,在,2,11,1,neutral,1.2
37,运,3,11,1,neutral,1.5
37,行,3,11,1,neutral,1.8
37, ,1,11,1,neutral,2.1
38,请,2,18,3,negative,0.0
38,不,2,17,2,negative,0.3
38,要,1,16,2,negative,0.6
38,这,1,20,3,negative,0.9
38,样,2,17,2,negative,1.2
38, ,1,11,1,neutral,1.5
39,哇,4,1,4,surprise,0.0
39,，,4,5,4,surprise,0.3
39,机,5,3,4,surprise,0.6
39,器,4,5,4,surprise,0.9
39,人,4,4,4,surprise,1.2
39,正,4,5,4,surprise,1.5
39,在,5,2,4,surprise,1.8
39,运,4,1,4,surprise,2.1
39,行,4,1,4,surprise,2.4
39, ,1,11,1,neutral,2.7
40,请,1,17,2,negative,0.0
40,不,2,16,2,negative,0.3
40,要,1,18,2,negative,0.6
40,这,2,17,2,negative,0.9
40,样,1,17,2,negative,1.2
40,，,2,16,3,negative,1.5
40,这,2,18,3,negative,1.8
40,是,2,16,3,negative,2.1
40,一,2,17,3,negative,2.4
40,段,1,20,2,negative,2.7
40,测,2,21,2,negative,3.0
40,试,1,19,2,negative,3.3
40, ,1,11,1,neutral,3.6
41,真,4,1,4,surprise,0.0
41,的,4,3,4,surprise,0.3
41,吗,4,3,4,surprise,0.6
41,，,4,5,4,surprise,0.9
41,好,5,5,4,surprise,1.2
41,的,5,3,4,surprise,1.5
41, ,1,11,1,neutral,1.8
42,好,3,11,1,neutral,0.0
42,的,2,11,1,neutral,0.3
42,，,3,11,1,neutral,0.6
42,准,2,11,1,neutral,0.9
42,备,3,11,1,neutral,1.2
42,好,1,11,1,neutral,1.5
42,了,2,11,1,neutral,1.8
42,吗,2,11,1,neutral,2.1
42, ,1,11,1,neutral,2.4
43,这,2,11,1,neutral,0.0
43,是,3,12,1,neutral,0.3
43,一,2,11,1,neutral,0.6
43,段,1,11,1,neutral,0.9
43,测,3,12,1,neutral,1.2
43,试,2,12,1,neutral,1.5
43, ,1,11,1,neutral,1.8
44,唉,1,16,2,negative,0.0
44,，,1,15,2,negative,0.3
44,这,2,19,3,negative,0.6
44,是,2,16,3,negative,0.9
44,一,1,16,3,negative,1.2
44,段,1,20,2,negative,1.5
44,测,1,19,2,negative,1.8
44,试,2,18,2,negative,2.1
44, ,1,11,1,neutral,2.4
45,机,1,11,1,neutral,0.0
45,器,2,11,1,neutral,0.3
45,人,1,11,1,neutral,0.6
45,正,1,11,1,neutral,0.9
45,在,3,11,1,neutral,1.2
45,运,1,11,1,neutral,1.5
45,行,1,11,1,neutral,1.8
45, ,1,11,1,neutral,2.1
46,今,5,12,1,positive,0.0
46,天,3,11,1,positive,0.3
46,心,5,12,1,positive,0.6
46,情,4,12,1,positive,0.9
46,很,4,11,1,positive,1.2
46,好,5,11,1,positive,1.5
46, ,1,11,1,neutral,1.8
47,欢,4,12,2,positive,0.0
47,迎,3,10,1,positive,0.3
47,来,5,11,1,positive,0.6
47,到,5,11,1,positive,0.9
47,直,5,12,1,positive,1.2
47,播,5,12,1,positive,1.5
47,间,3,10,1,positive,1.8
47, ,1,11,1,neutral,2.1
48,机,2,11,1,neutral,0.0
48,器,2,11,1,neutral,0.3
48,人,3,11,1,neutral,0.6
48,正,1,11,1,neutral,0.9
48,在,2,11,1,neutral,1.2
48,运,1,11,1,neutral,1.5
48,行,1,11,1,neutral,1.8
48,，,3,11,1,neutral,2.1
48,准,3,10,1,neutral,2.4
48,备,3,12,1,neutral,2.7
48,好,1,12,1,neutral,3.0
48,了,2,11,1,neutral,3.3
48,吗,2,11,1,neutral,3.6
48, ,1,11,1,neutral,3.9
49,机,2,11,1,neutral,0.0
49,器,2,11,1,neutral,0.3
49,人,1,10,1,neutral,0.6
49,正,1,11,1,neutral,0.9
49,在,2,11,1,neutral,1.2
49,运,2,11,1,neutral,1.5
49,行,3,11,1,neutral,1.8
49, ,1,11,1,neutral,2.1
50,哇,5,5,4,surprise,0.0
50,，,4,4,4,surprise,0.3
50,准,4,4,4,surprise,0.6
50,备,4,4,4,surprise,0.9
50,好,5,4,4,surprise,1.2
50,了,4,2,4,surprise,1.5
50,吗,5,4,4,surprise,1.8
50, ,1,11,1,neutral,2.1
51,不,4,4,4,surprise,0.0
51,可,5,4,4,surprise,0.3
51,思,4,1,4,surprise,0.6
51,议,4,5,4,surprise,0.9
51, ,1,11,1,neutral,1.2
52,不,4,4,4,surprise,0.0
52,可,4,1,4,surprise,0.3
52,思,4,4,4,surprise,0.6
52,议,5,4,4,surprise,0.9
52,，,5,4,4,surprise,1.2
52,接,4,2,4,surprise,1.5
52,下,4,2,4,surprise,1.8
52,来,5,5,4,surprise,2.1
52,我,4,5,4,surprise,2.4
52,们,4,4,4,surprise,2.7
52,看,4,2,4,surprise,3.0
52, ,1,11,1,neutral,3.3
53,有,1,21,2,negative,0.0
53,点,2,21,3,negative,0.3
53,难,1,20,3,negative,0.6
53,过,2,19,3,negative,0.9
53, ,1,11,1,neutral,1.2
54,真,4,2,4,surprise,0.0
54,的,4,1,4,surprise,0.3
54,吗,4,4,4,surprise,0.6
54,，,4,2,4,surprise,0.9
54,好,5,2,4,surprise,1.2
54,的,5,2,4,surprise,1.5
54, ,1,11,1,neutral,1.8
55,好,2,11,1,neutral,0.0
55,的,1,11,1,neutral,0.3
55, ,1,11,1,neutral,0.6
56,请,1,16,3,negative,0.0
56,不,2,16,3,negative,0.3
56,要,2,20,3,negative,0.6
56,这,1,16,2,negative,0.9
56,样,1,18,3,negative,1.2
56, ,1,11,1,neutral,1.5
57,欢,4,9,2,positive,0.0
57,迎,3,12,2,positive,0.3
57,来,3,10,2,positive,0.6
57,到,5,12,2,positive,0.9
57,直,3,11,2,positive,1.2
57,播,3,11,2,positive,1.5
57,间,5,12,1,positive,1.8
57, ,1,11,1,neutral,2.1
58,接,2,11,1,neutral,0.0
58,下,2,11,1,neutral,0.3
58,来,3,11,1,neutral,0.6
58,我,1,11,1,neutral,0.9
58,们,1,12,1,neutral,1.2
58,看,1,11,1,neutral,1.5
58, ,1,11,1,neutral,1.8
59,接,3,11,1,neutral,0.0
59,下,3,11,1,neutral,0.3
59,来,3,11,1,neutral,0.6
59,我,3,11,1,neutral,0.9
59,们,3,11,1,neutral,1.2
59,看,2,11,1,neutral,1.5
59, ,1,11,1,neutral,1.8
60,欢,3,10,1,positive,0.0
60,迎,4,12,1,positive,0.3
60,来,4,10,1,positive,0.6
60,到,4,11,2,positive,0.9
60,直,3,11,1,positive,1.2
60,播,3,12,1,positive,1.5
60,间,3,11,1,positive,1.8
60, ,1,11,1,neutral,2.1
61,哇,4,3,4,surprise,0.0
61,，,5,4,4,surprise,0.3
61,机,5,3,4,surprise,0.6
61,器,4,2,4,surprise,0.9
61,人,5,3,4,surprise,1.2
61,正,5,3,4,surprise,1.5
61,在,5,2,4,surprise,1.8
61,运,4,5,4,surprise,2.1
61,行,5,5,4,surprise,2.4
61, ,1,11,1,neutral,2.7
62,哇,4,2,4,surprise,0.0
62, ,1,11,1,neutral,0.3
63,情,2,18,3,negative,0.0
63,况,2,20,2,negative,0.3
63,不,1,20,3,negative,0.6
63,太,2,19,2,negative,0.9
63,好,1,17,2,negative,1.2
63, ,1,11,1,neutral,1.5
64,接,2,11,1,neutral,0.0
64,下,2,11,1,neutral,0.3
64,来,3,11,1,neutral,0.6
64,我,3,11,1,neutral,0.9
64,们,3,11,1,neutral,1.2
64,看,1,11,1,neutral,1.5
64,，,3,11,1,neutral,1.8
64,好,3,11,1,neutral,2.1
64,的,2,11,1,neutral,2.4
64, ,1,11,1,neutral,2.7
65,欢,4,10,2,positive,0.0
65,迎,5,12,1,positive,0.3
65,来,3,11,2,positive,0.6
65,到,5,12,2,positive,0.9
65,直,4,12,2,positive,1.2
65,播,3,11,1,positive,1.5
65,间,4,12,1,positive,1.8
65, ,1,11,1,neutral,2.1
66,这,2,11,1,neutral,0.0
66,是,3,11,1,neutral,0.3
66,一,3,11,1,neutral,0.6
66,段,1,11,1,neutral,0.9
66,测,1,11,1,neutral,1.2
66,试,1,11,1,neutral,1.5
66, ,1,11,1,neutral,1.8
67,准,2,11,1,neutral,0.0
67,备,2,11,1,neutral,0.3
67,好,1,11,1,neutral,0.6
67,了,1,11,1,neutral,0.9
67,吗,1,11,1,neutral,1.2
67,，,3,11,1,neutral,1.5
67,机,3,11,1,neutral,1.8
67,器,1,11,1,neutral,2.1
67,人,3,11,1,neutral,2.4
67,正,2,11,1,neutral,2.7
67,在,3,11,1,neutral,3.0
67,运,1,10,1,neutral,3.3
67,行,3,11,1,neutral,3.6
67, ,1,11,1,neutral,3.9
68,谢,5,11,1,positive,0.0
68,谢,3,11,2,positive,0.3
68,大,4,11,1,positive,0.6
68,家,3,11,1,positive,0.9
68,的,3,12,2,positive,1.2
68,支,3,11,2,positive,1.5
68,持,4,10,2,positive,1.8
68, ,1,11,1,neutral,2.1
69,这,2,11,1,neutral,0.0
69,是,1,11,1,neutral,0.3
69,一,3,11,1,neutral,0.6
69,段,3,11,1,neutral,0.9
69,测,2,11,1,neutral,1.2
69,试,1,11,1,neutral,1.5
69, ,1,11,1,neutral,1.8
70,请,1,20,2,negative,0.0
70,不,2,16,3,negative,0.3
70,要,2,20,3,negative,0.6
70,这,1,18,2,negative,0.9
70,样,1,17,2,negative,1.2
70,，,1,17,2,negative,1.5
70,这,1,21,2,negative,1.8
70,是,2,19,3,negative,2.1
70,一,2,17,3,negative,2.4
70,段,2,18,2,negative,2.7
70,测,1,16,2,negative,3.0
70,试,2,21,3,negative,3.3
70, ,1,11,1,neutral,3.6
71,欢,4,10,2,positive,0.0
71,迎,3,11,1,positive,0.3
71,来,5,12,1,positive,0.6
71,到,5,10,2,positive,0.9
71,直,5,11,1,positive,1.2
71,播,4,10,1,positive,1.5
71,间,3,11,2,positive,1.8
71,，,3,11,2,positive,2.1
71,这,5,13,2,positive,2.4
71,是,3,12,1,positive,2.7
71,一,3,10,2,positive,3.0
71,段,4,12,1,positive,3.3
71,测,5,10,2,positive,3.6
71,试,4,11,1,positive,3.9
71, ,1,11,1,neutral,4.2
72,接,1,11,1,neutral,0.0
72,下,1,11,1,neutral,0.3
72,来,1,11,1,neutral,0.6
72,我,2,11,1,neutral,0.9
72,们,3,11,1,neutral,1.2
72,看,2,11,1,neutral,1.5
72,，,3,11,1,neutral,1.8
72,机,2,11,1,neutral,2.1
72,器,1,11,1,neutral,2.4
72,人,2,11,1,neutral,2.7
72,正,3,12,1,neutral,3.0
72,在,3,11,1,neutral,3.3
72,运,2,11,1,neutral,3.6
72,行,3,12,1,neutral,3.9
72, ,1,11,1,neutral,4.2
73,不,4,5,4,surprise,0.0
73,可,4,4,4,surprise,0.3
73,思,5,3,4,surprise,0.6
73,议,4,4,4,surprise,0.9
73, ,1,11,1,neutral,1.2
74,这,3,11,1,neutral,0.0
74,是,2,11,1,neutral,0.3
74,一,3,11,1,neutral,0.6
74,段,1,10,1,neutral,0.9
74,测,1,12,1,neutral,1.2
74,试,3,11,1,neutral,1.5
74, ,1,11,1,neutral,1.8
75,接,2,11,1,neutral,0.0
75,下,3,11,1,neutral,0.3
75,来,2,11,1,neutral,0.6
75,我,2,11,1,neutral,0.9
75,们,2,12,1,neutral,1.2
75,看,1,11,1,neutral,1.5
75, ,1,11,1,neutral,1.8
76,机,2,12,1,neutral,0.0
76,器,2,11,1,neutral,0.3
76,人,3,11,1,neutral,0.6
76,正,3,11,1,neutral,0.9
76,在,2,11,1,neutral,1.2
76,运,1,11,1,neutral,1.5
76,行,3,11,1,neutral,1.8
76,，,3,11,1,neutral,2.1
76,接,1,10,1,neutral,2.4
76,下,1,11,1,neutral,2.7
76,来,1,11,1,neutral,3.0
76,我,1,10,1,neutral,3.3
76,们,2,12,1,neutral,3.6
76,看,2,11,1,neutral,3.9
76, ,1,11,1,neutral,4.2
77,谢,3,12,1,positive,0.0
77,谢,3,12,1,positive,0.3
77,大,5,12,1,positive,0.6
77,家,5,12,1,positive,0.9
77,的,3,13,1,positive,1.2
77,支,3,11,2,positive,1.5
77,持,5,11,1,positive,1.8
77, ,1,11,1,neutral,2.1
78,太,3,11,2,positive,0.0
78,棒,5,11,1,positive,0.3
78,了,4,12,1,positive,0.6
78,，,3,12,1,positive,0.9
78,接,4,10,2,positive,1.2
78,下,5,12,1,positive,1.5
78,来,4,11,1,positive,1.8
78,我,3,11,1,positive,2.1
78,们,5,12,1,positive,2.4
78,看,3,11,2,positive,2.7
78, ,1,11,1,neutral,3.0
79,谢,4,12,1,positive,0.0
79,谢,5,11,1,positive,0.3
79,大,3,12,1,positive,0.6
79,家,4,12,2,positive,0.9
79,的,4,12,2,positive,1.2
79,支,4,12,2,positive,1.5
79,持,3,11,2,positive,1.8
79, ,1,11,1,neutral,2.1
80,天,4,5,4,surprise,0.0
80,哪,5,3,4,surprise,0.3
80,，,5,2,4,surprise,0.6
80,好,4,3,4,surprise,0.9
80,的,4,3,4,surprise,1.2
80, ,1,11,1,neutral,1.5
81,不,4,2,4,surprise,0.0
81,可,5,1,4,surprise,0.3
81,思,5,4,4,surprise,0.6
81,议,5,3,4,surprise,0.9
81, ,1,11,1,neutral,1.2
82,唉,2,19,3,negative,0.0
82,，,1,20,2,negative,0.3
82,机,1,19,3,negative,0.6
82,器,2,20,3,negative,0.9
82,人,1,21,3,negative,1.2
82,正,2,20,2,negative,1.5
82,在,1,18,3,negative,1.8
82,运,2,19,2,negative,2.1
82,行,2,16,3,negative,2.4
82, ,1,11,1,neutral,2.7
83,唉,2,21,2,negative,0.0
83, ,1,11,1,neutral,0.3
84,请,2,20,3,negative,0.0
84,不,1,21,2,negative,0.3
84,要,2,16,3,negative,0.6
84,这,2,21,2,negative,0.9
84,样,2,18,2,negative,1.2
84,，,2,19,2,negative,1.5
84,准,2,19,2,negative,1.8
84,备,1,21,3,negative,2.1
84,好,2,17,3,negative,2.4
84,了,1,17,3,negative,2.7
84,吗,1,20,3,negative,3.0
84, ,1,11,1,neutral,3.3
85,今,5,10,1,positive,0.0
85,天,5,12,2,positive,0.3
85,心,5,11,1,positive,0.6
85,情,3,11,1,positive,0.9
85,很,3,13,1,positive,1.2
85,好,4,10,1,positive,1.5
85, ,1,11,1,neutral,1.8
86,谢,3,10,1,positive,0.0
86,谢,5,11,2,positive,0.3
86,大,3,10,2,positive,0.6
86,家,4,11,1,positive,0.9
86,的,3,11,2,positive,1.2
86,支,4,12,1,positive,1.5
86,持,3,10,1,positive,1.8
86,，,5,10,2,positive,2.1
86,好,5,11,2,positive,2.4
86,的,3,10,2,positive,2.7
86, ,1,11,1,neutral,3.0
87,快,5,2,4,surprise,0.0
87,看,4,1,4,surprise,0.3
87, ,1,11,1,neutral,0.6
88,机,3,11,1,neutral,0.0
88,器,1,11,1,neutral,0.3
88,人,1,11,1,neutral,0.6
88,正,3,11,1,neutral,0.9
88,在,2,11,1,neutral,1.2
88,运,2,11,1,neutral,1.5
88,行,3,11,1,neutral,1.8
88,，,3,11,1,neutral,2.1
88,准,2,11,1,neutral,2.4
88,备,3,11,1,neutral,2.7
88,好,3,11,1,neutral,3.0
88,了,1,11,1,neutral,3.3
88,吗,2,11,1,neutral,3.6
88, ,1,11,1,neutral,3.9
89,不,4,5,4,surprise,0.0
89,可,5,3,4,surprise,0.3
89,思,4,4,4,surprise,0.6
89,议,5,3,4,surprise,0.9
89, ,1,11,1,neutral,1.2
90,好,1,12,1,neutral,0.0
90,的,3,11,1,neutral,0.3
90, ,1,11,1,neutral,0.6
91,真,5,4,4,surprise,0.0
91,的,5,4,4,surprise,0.3
91,吗,4,2,4,surprise,0.6
91, ,1,11,1,neutral,0.9
92,快,4,4,4,surprise,0.0
92,看,4,4,4,surprise,0.3
92,，,5,5,4,surprise,0.6
92,这,4,5,4,surprise,0.9
92,是,4,3,4,surprise,1.2
92,一,4,4,4,surprise,1.5
92,段,4,1,4,surprise,1.8
92,测,5,4,4,surprise,2.1
92,试,5,1,4,surprise,2.4
92, ,1,11,1,neutral,2.7
93,谢,3,12,1,positive,0.0
93,谢,5,10,1,positive,0.3
93,大,5,11,2,positive,0.6
93,家,5,12,2,positive,0.9
93,的,4,11,1,positive,1.2
93,支,3,10,1,positive,1.5
93,持,5,13,1,positive,1.8
93, ,1,11,1,neutral,2.1
94,准,3,11,1,neutral,0.0
94,备,2,11,1,neutral,0.3
94,好,3,11,1,neutral,0.6
94,了,1,12,1,neutral,0.9
94,吗,2,11,1,neutral,1.2
94, ,1,11,1,neutral,1.5
95,谢,5,12,1,positive,0.0
95,谢,3,12,1,positive,0.3
95,大,3,11,2,positive,0.6
95,家,4,11,2,positive,0.9
95,的,5,11,1,positive,1.2
95,支,3,12,2,positive,1.5
95,持,4,11,1,positive,1.8
95,，,3,11,1,positive,2.1
95,好,5,10,2,positive,2.4
95,的,5,10,1,positive,2.7
95, ,1,11,1,neutral,3.0
96,机,3,11,1,neutral,0.0
96,器,3,11,1,neutral,0.3
96,人,2,10,1,neutral,0.6
96,正,1,11,1,neutral,0.9
96,在,1,10,1,neutral,1.2
96,运,1,11,1,neutral,1.5
96,行,2,11,1,neutral,1.8
96, ,1,11,1,neutral,2.1
97,你,4,11,1,positive,0.0
97,好,3,10,1,positive,0.3
